ID,types,Text1,Text2,Class
0,Thermodynamic Analysis System,"If the maximum number of heating or cooling units is already running, the request will be added to a LIFO queue.","If the maximum number of  cooling units is already running, the request will be added to a LIFO queue.",Conflict
1,Thermodynamic Analysis System,The system shall read the intialization file and the definitions shall be derived from the initialization data in the file.,This process shall first determine a known state of all the heating and cooling units by issuing a request to turn off any unit,Neutral
2,Thermodynamic Analysis System,"When the THEMAS system detects a request for an alarm, Generate_Alarm_Data shall detect which of the two alarms are being requested.","When the THEMAS system detects a request for an alarm, Generate_Alarm_Data shall store which of the two alarms are being requested.",Conflict
3,Thermodynamic Analysis System,"The themas system shall process two types of temperature data, the temperature setting and current temperature",The themas system shall only process current temperature,Conflict
4,Thermodynamic Analysis System,"When an event occurs, the THEMAS system shall identify the event type and format an appropriate event message.",The supervisor’s interface to the THEMAS system shall provide a mechanism to select between an operational history report or a statistical summary report.,Neutral
5,Thermodynamic Analysis System,"If the maximum number of  cooling units is already running, the request will be added to a LIFO queue.","If an alarm is requested for the first time, an alarm event shall be recorded.",Neutral
6,Thermodynamic Analysis System,"If LO < = T < = UO, then this process shall output the temperature status.","If LO < = T <  UO, then this process shall output the temperature status.",Conflict
7,Thermodynamic Analysis System,Set_Trigger_Values shall read the initialization file and establish the trigger value from the data in that file.,If T > LO or UO < T then the THEMAS system shall recognize this condition as the temperature limit has been exceeded.,Neutral
8,Thermodynamic Analysis System,The THEMAS system must compare the reported temperature values to the temperature setting and detect when the temperature value exceeds the specified limits.,"If the operational history report is selected, the THEMAS system shall select a few events from the event database, sort the events by date and time, and create the ASCII report file.",Neutral
9,Thermodynamic Analysis System,"Generate_H/C_Signal shall recognize the values for the requested heating or cooling unit and the ON or OFF status that is being requested.Since the interface to control the units has not been defined, the part of this process that will issue the signal is designated as TBD(to be determined).","If the system detects a temperature limit has been exceeded, Generate_Alarm_Data shall output a continuous series of alternating 1000 Hz and 1500 Hz beeps on the supervisor’s computer.",Neutral
